city,lat,long,temp,humidity,cloudiness,windspeed,country,date
hay river,60.8156,-115.7999,33.8,93,100,4.61,CA,1621178844
kununurra,-15.7667,128.7333,57.2,77,50,7.72,AU,1621178849
boyolangu,-8.1181,111.8935,76.35,86,66,4.18,ID,1621178775
shache,38.4167,77.2406,68.07,29,63,6.17,CN,1621178859
virginia beach,36.8529,-75.978,69.17,33,90,4.61,US,1621178749
wamba,8.9333,8.6,93.4,45,66,8.99,NG,1621178869
tura,25.5198,90.2201,74.91,85,26,4.52,IN,1621178875
ada,43.4166,-116.1262,63.01,42,1,4.61,US,1621178880
gatehouse of fleet,54.882,-4.1843,46.99,87,99,1.23,GB,1621178885
baturaja,-4.1333,104.1667,75,98,100,2.33,ID,1621178891
zlobin,45.2924,14.6541,56.73,82,75,11.5,HR,1621178896
touros,-5.1989,-35.4608,86,62,40,11.5,BR,1621178901
kimbe,-5.5502,150.1429,76.98,92,100,4.56,PG,1621178906
mangai,-4.05,19.5333,85.3,60,100,1.57,CD,1621178722
budila,45.6667,25.8,62.49,65,34,1.43,RO,1621178917
guacimo,10.2104,-83.6807,70.57,68,0,4.25,CR,1621178922
elko,41.0002,-115.5012,54.91,58,100,5.01,US,1621178927
beyneu,45.3167,55.2,84.83,12,0,19.28,KZ,1621178932
magistralnyy,56.1725,107.4458,39.09,45,100,3.04,RU,1621178938
andilamena,-17.0167,48.5833,61.23,89,19,6.02,MG,1621178943
muisne,0.6,-80.0333,78.8,94,90,4.61,EC,1621178948
tazovskiy,67.4667,78.7,19.4,90,8,5.41,RU,1621178953
boundiali,9.5217,-6.4869,99.54,27,76,6.04,CI,1621178959
omboue,-1.5746,9.2618,78.67,88,100,3.6,GA,1621178964
tuquerres,1.0923,-77.6209,49.84,91,100,3.53,CO,1621178969
guiren,33.6697,118.1889,56.93,69,100,10.18,CN,1621178974
balaipungut,1.05,101.2833,80.6,89,20,5.75,ID,1621178980
whitianga,-36.8333,175.7,62.01,93,100,3,NZ,1621178985
beringovskiy,63.05,179.3167,26.8,96,100,2.93,RU,1621178990
verkhoyansk,67.5447,133.385,44.67,52,2,3.22,RU,1621178995
acapulco,16.8634,-99.8901,86,62,40,4.61,MX,1621179001
wanxian,30.8039,108.3897,65.59,93,100,3.6,CN,1621179006
guadalajara,20.6667,-103.3333,71.62,46,1,4.61,MX,1621178852
freeport,40.6576,-73.5832,66.94,43,1,9.22,US,1621178782
carnduff,49.1667,-101.8009,70,38,32,4,CA,1621179021
bilibino,68.0546,166.4372,16.21,94,62,4.45,RU,1621179027
zhangjiakou,40.81,114.8794,59.36,26,59,3.44,CN,1621179032
nome,64.5011,-165.4064,33.39,64,1,5.75,US,1621179037
viksoyri,,,,,,,,
kamenka,51.3223,42.7678,72.68,59,80,5.14,RU,1621179048
novo selo,41.4139,22.8811,70.16,57,32,8.9,MK,1621179053
olafsvik,64.8945,-23.7142,39.54,55,76,21.39,IS,1621179058
alihe,50.5667,123.7167,49.75,51,29,3.58,CN,1621178937
husavik,66.0449,-17.3389,37.4,56,90,8.05,IS,1621179068
richards bay,-28.783,32.0377,71.11,77,25,12.66,ZA,1621179074
mankono,8.0586,-6.1897,96.08,35,90,4.32,CI,1621179079
rena,61.1348,11.3641,51.01,75,99,1.01,NO,1621179084
dawei,14.0833,98.2,80.53,88,56,0.76,MM,1621179089
haibowan,,,,,,,,
palmer,42.1584,-72.3287,72.63,28,40,9.22,US,1621179100
rocha,-34.4833,-54.3333,63.9,48,100,2.1,UY,1621179002
evensk,61.95,159.2333,30.94,91,100,8.41,RU,1621179110
santiago de cao,-7.9589,-79.2392,68,77,75,10.36,PE,1621179115
sobolevo,54.4299,31.8996,63.95,77,71,3.83,RU,1621179121
kloulklubed,7.0419,134.2556,78.8,94,90,5.75,PW,1621179126
buckeye,33.3703,-112.5838,76.26,31,0,5.75,US,1621179131
ilo,-17.6394,-71.3375,68.31,74,19,6.6,PE,1621179136
kudahuvadhoo,2.6708,72.8944,84.52,76,100,16.13,MV,1621179142
jinchengjiang,,,,,,,,
kavieng,-2.5744,150.7967,82.94,80,82,14.97,PG,1621179152
tukrah,32.5341,20.5791,68.04,68,10,11.45,LY,1621179157
pangoa,-12.1167,-73,81.23,60,55,2.1,PE,1621179162
taltal,-25.4,-70.4833,68.77,67,43,3.8,CL,1621179168
labuhan,-6.8844,112.2051,78.01,83,20,6.29,ID,1621179173
erdenet,49.0333,104.0833,53.37,40,16,3.74,MN,1621178965
besikduzu,41.052,39.2284,62.6,72,0,8.05,TR,1621179183
coxim,-18.5067,-54.76,94.6,25,31,2.95,BR,1621179189
bo phloi,14.3236,99.5161,86.02,68,93,3.94,TH,1621179194
antri,26.0567,78.2144,97.5,25,94,4.12,IN,1621179199
henties bay,-22.116,14.2845,64.76,76,24,12.3,NA,1621179204
sentyabrskiy,,,,,,,,
dogondoutchi,13.6393,4.0287,109.45,9,23,15.3,NE,1621179215
yeppoon,-23.1333,150.7333,53.6,50,2,4.61,AU,1621179220
tekkalakota,,,,,,,,
black river,18.0264,-77.8487,85.6,66,20,12.66,JM,1621179230
totma,59.9747,42.7642,62.89,74,15,8.88,RU,1621179236
boa vista,2.8197,-60.6733,78.8,83,90,9.22,BR,1621179241
teguise,29.0605,-13.564,77,61,20,24.16,ES,1621179246
khandbari,27.3747,87.2039,72.86,62,93,3.69,NP,1621179251
mehamn,71.0357,27.8492,35.6,87,90,9.22,NO,1621179257
luderitz,-26.6481,15.1594,64.71,73,2,16.67,NA,1621179262
flinders,-34.5833,150.8552,53.15,56,0,8.99,AU,1621179267
ngaoundere,7.3167,13.5833,71.53,84,100,4.29,CM,1621179272
tazmalt,36.3868,4.3989,93.33,19,0,8.66,DZ,1621179278
tagusao,9.1924,117.8141,81.19,84,86,4.92,PH,1621179283
port arthur,38.8,121.2667,58.6,63,0,4.47,CN,1621179288
doctor pedro p. pena,,,,,,,,
aripuana,-9.1667,-60.6333,87.31,49,88,3.04,BR,1621179298
buala,-8.145,159.5921,80.92,82,33,8.1,SB,1621179304
clyde river,70.4692,-68.5914,14,62,20,3.44,CA,1621179309
mandan,46.8267,-100.8896,70.16,49,1,16.11,US,1621179314
tessalit,20.1986,1.0114,109.42,7,24,9.42,ML,1621179320
marsa matruh,31.3525,27.2453,71.6,64,40,18.41,EG,1621179325
sault sainte marie,46.5168,-84.3333,60.22,55,20,9.75,CA,1621179101
nemuro,43.3236,145.575,45.95,99,100,20.69,JP,1621179335
talaya,61.3833,152.75,29.71,87,100,3.53,RU,1621179340
kuvandyk,51.4781,57.3552,72.16,39,42,3.56,RU,1621179346
warqla,,,,,,,,
tabas,33.5959,56.9244,85.06,11,0,3.71,IR,1621179356
karratha,-20.7377,116.8463,73.76,51,0,5.1,AU,1621179267
nabire,-3.3667,135.4833,77.81,91,100,1.79,ID,1621179366
englewood,39.6478,-104.9878,56.95,76,90,9.22,US,1621179210
barbar,,,,,,,,
rovaniemi,66.5,25.7167,59,58,75,6.91,FI,1621179382
alpena,45.0617,-83.4327,59.52,45,20,5.75,US,1621179387
high rock,26.6208,-78.2833,82.4,54,75,11.5,BS,1621179392
luganville,-15.5333,167.1667,78.04,87,17,1.61,VU,1621179397
kayalpattinam,8.5667,78.1167,84.65,67,63,8.95,IN,1621179403
orbetello,42.4408,11.2196,62.08,82,40,20.71,IT,1621179172
nola,40.922,14.5329,68.31,68,40,10.36,IT,1621179413
guerrero negro,27.9769,-114.0611,63.59,62,44,14.16,MX,1621179418
talawdi,,,,,,,,
dillon,34.4166,-79.3712,75.85,27,1,3.44,US,1621179429
araouane,18.9048,-3.5265,112.05,6,64,9.55,ML,1621179434
byron bay,-28.65,153.6167,48.47,93,0,3.44,AU,1621179439
pingzhuang,42.0372,119.2889,57.72,20,76,3.85,CN,1621179444
warwick,41.7001,-71.4162,73.8,25,75,6.91,US,1621179168
xining,36.6167,101.7667,47.8,60,100,10.51,CN,1621179455
saint andrews,34.0454,-81.1293,77.77,38,40,9.22,US,1621179460
mackay,-21.15,149.2,50.67,87,0,4.61,AU,1621179465
port hawkesbury,45.6169,-61.3485,46.8,66,90,10.36,CA,1621179278
mazamari,-11.3258,-74.5308,81.48,64,85,2.44,PE,1621179476
devils lake,48.1128,-98.8651,70.43,40,1,16.11,US,1621179481
tabiauea,,,,,,,,
saint-georges,12.0564,-61.7485,84.2,70,20,23.02,GD,1621179491
ondjiva,-17.0667,15.7333,86,23,0,4.61,AO,1621179496
sorland,67.667,12.6934,59,51,0,5.75,NO,1621179502
andenes,69.3143,16.1194,44.6,81,75,16.11,NO,1621179507
kyshtovka,56.555,76.6271,60.01,83,52,7.09,RU,1621179512
inirida,3.8653,-67.9239,77.49,93,95,1.68,CO,1621179517
aykhal,66,111.5,14.65,93,100,25.37,RU,1621179523
lokosovo,61.1333,74.8167,47.86,74,100,4.79,RU,1621179528
tonekabon,36.8163,50.8738,71.6,83,20,9.22,IR,1621179533
kahului,20.8947,-156.47,65.64,78,20,6.91,US,1621179483
udachnyy,66.4167,112.4,16.68,93,100,19.84,RU,1621179544
bealanana,-14.55,48.7333,60.31,96,4,2.01,MG,1621179549
ndola,-12.9587,28.6366,66.22,52,7,1.5,ZM,1621179554
cap-aux-meules,47.3821,-61.8597,50,66,57,10.36,CA,1621179559
naze,28.3667,129.4833,73.18,89,81,12.91,JP,1621179565
sept-iles,50.2001,-66.3821,48.65,61,75,14.97,CA,1621179570
la ronge,55.1001,-105.2842,45.5,65,99,10.36,CA,1621179575
jieshi,22.8134,115.8257,81.72,85,46,9.71,CN,1621179580
lazaro cardenas,17.9583,-102.2,87.53,54,8,5.41,MX,1621179586
el reno,35.5323,-97.955,66.74,94,90,13.8,US,1621179474
paita,-5.0892,-81.1144,71.6,78,75,13.8,PE,1621179596
dongsheng,39.8161,109.9776,54.77,30,3,8.43,CN,1621179601
bababe,,,,,,,,
sao joao da barra,-21.6403,-41.0511,78.8,61,75,8.43,BR,1621179612
fochville,-26.4886,27.4939,67.93,21,0,5.75,ZA,1621179617
novosmolinskiy,56.2841,43.0507,77,38,20,6.71,RU,1621179622
nizhniye sergi,56.6614,59.3033,69.58,48,6,5.1,RU,1621179627
glowno,51.9646,19.7157,60.93,59,20,9.22,PL,1621179633
aden,12.7794,45.0367,86.76,59,48,34,YE,1621179638
havelock,34.8791,-76.9013,69.93,52,1,5.75,US,1621179643
ukiah,39.1502,-123.2078,57.45,82,90,5.75,US,1621179648
halifax,44.6453,-63.5724,61.93,51,40,12.66,CA,1621179620
dolbeau,,,,,,,,
rimouski,48.4488,-68.524,50.9,87,70,3.44,CA,1621179625
lardos,36.0942,28.0157,71.8,73,20,14.97,GR,1621179669
waingapu,-9.6567,120.2641,75.81,76,10,10.76,ID,1621179674
strelka,58.0728,93.0344,38.86,55,40,3.85,RU,1621179679
lisala,2.15,21.5167,81.9,66,81,3.18,CD,1621179670
lakselv,70.0513,24.9718,37.4,93,75,5.75,NO,1621179690
mendeleyevsk,55.9082,52.2905,84.2,23,0,6.71,RU,1621179695
marawi,7.9986,124.2928,82,82,96,0.98,PH,1621179700
miles city,46.4083,-105.8406,59,63,1,5.75,US,1621179705
mount gambier,-37.8333,140.7667,51.8,93,40,11.5,AU,1621179711
karaul,,,,,,,,
mamallapuram,12.6264,80.1722,85.08,79,20,5.75,IN,1621179721
westpunt,,,,,,,,
pasni,25.2631,63.471,84.02,77,4,8.03,PK,1621179731
victor harbor,-35.5667,138.6167,55.99,79,56,8.1,AU,1621179737
nalut,30.3333,10.85,94.96,8,92,7.87,LY,1621179742
yaroslavskiy,44.1683,132.2072,55.99,59,100,1.83,RU,1621179747
curuguaty,-24.4694,-55.6945,84.38,36,0,3.24,PY,1621179752
evanston,42.0411,-87.6901,66.33,48,40,3.44,US,1621179758
mococa,-21.4678,-47.0047,71.08,68,75,6.8,BR,1621179763
paracuru,-3.41,-39.0306,82.99,68,95,17,BR,1621179768
gravdal,68.1214,13.5031,59,51,0,5.75,NO,1621179773
mayor pablo lagerenza,-19.9309,-60.7718,84.45,41,100,5.75,PY,1621179779
anadyr,64.75,177.4833,35.6,69,0,11.18,RU,1621179784
mezen,65.8522,44.24,55.89,70,100,8.93,RU,1621179789
avanigadda,16.0215,80.9181,84.2,84,20,3.44,IN,1621179794
puerto carreno,6.189,-67.4859,84.74,69,69,8.23,CO,1621179800
phan rang,,,,,,,,
aldan,58.6031,125.3894,34.11,91,100,11.27,RU,1621179810
finschhafen,-6.6024,147.8681,80.35,78,100,7.92,PG,1621179815
berdigestyakh,62.0989,126.6992,43.45,96,99,3.02,RU,1621179794
san martin,-33.081,-68.4681,60.8,59,40,5.75,AR,1621179826
mabaruma,8.2,-59.7833,87.01,53,90,5.26,GY,1621179831
eureka,40.8021,-124.1637,47.32,93,90,4.61,US,1621179836
spring hill,28.4769,-82.5255,80.53,41,1,11.5,US,1621179841
nushki,29.5542,66.0215,84.63,12,4,8.41,PK,1621179847
eskasem,,,,,,,,
tavda,58.0425,65.2726,74.39,40,53,6.85,RU,1621179857
matagami,49.7502,-77.6328,64.4,45,20,10.36,CA,1621179862
yaan,7.3833,8.5667,88.29,56,84,7.96,NG,1621179867
rudnya,54.947,31.0934,71.6,43,20,6.71,RU,1621179873
sayyan,15.1718,44.3244,65.53,53,95,4.63,YE,1621179878
