City,lat,long,temp,humidity,cloudiness,windspeed,country,ong
kinsale,51.7075,-8.5306,49.51,93.0,75.0,8.05,,-8.5306
dicabisagan,17.0818,122.4157,77.86,88.0,13.0,3.87,,122.4157
jaisalmer,26.9147,70.9181,90.63,28.0,71.0,5.32,,70.9181
elko,41.0002,-115.5012,63.19,55.0,73.0,8.99,,-115.5012
kaitangata,-46.2817,169.8464,40.41,90.0,84.0,4.59,,169.8464
cabra,37.4725,-4.4421,72.28,35.0,0.0,4.61,,-4.4421
rocha,-34.4833,-54.3333,53.28,73.0,100.0,3.51,,-54.3333
juneau,58.3019,-134.4197,43.68,81.0,90.0,14.97,,-134.4197
carbonia,39.1672,8.5222,60.39,63.0,0.0,5.75,,8.5222
bambous virieux,-20.3428,57.7575,77.0,78.0,40.0,13.8,,57.7575
leua,48.2156,18.6071,54.0,89.0,79.0,1.01,,18.6071
zavoronezhskoye,52.8801,40.5526,58.69,84.0,16.0,3.98,,40.5526
the valley,18.217,-63.0578,83.52,74.0,40.0,14.97,,-63.0578
vysokogornyy,50.1167,139.15,44.71,88.0,92.0,18.77,,139.15
zharkovskiy,55.849,32.2697,51.19,97.0,30.0,5.41,,32.2697
cheremkhovo,53.1561,103.0675,46.13,62.0,100.0,7.63,,103.0675
crestview,30.7621,-86.5705,81.64,30.0,1.0,4.61,,-86.5705
ndele,8.4109,20.6473,74.1,77.0,100.0,3.85,,20.6473
poum,-20.2333,164.0167,77.63,79.0,79.0,13.38,,164.0167
araouane,18.9048,-3.5265,95.92,9.0,0.0,11.36,,-3.5265
wamba,8.9333,8.6,77.81,78.0,100.0,1.7,,8.6
ostersund,63.1792,14.6357,46.2,100.0,90.0,8.05,,14.6357
kangundo,-1.2979,37.3471,66.96,82.0,75.0,3.44,,37.3471
scottsbluff,41.8666,-103.6672,65.52,45.0,90.0,13.8,,-103.6672
calafell,41.2,1.5683,64.45,100.0,30.0,2.44,,1.5683
terrace,54.5163,-128.6035,51.8,76.0,90.0,19.57,,-128.6035
agua dulce,18.1333,-94.1333,84.2,79.0,40.0,11.5,,-94.1333
lata,40.1629,-8.3327,62.01,90.0,100.0,3.0,,-8.3327
kosh-agach,50.0,88.6667,41.9,65.0,10.0,2.39,,88.6667
riberalta,-10.9833,-66.1,83.7,61.0,81.0,1.7,,-66.1
lavrentiya,65.5833,-171.0,32.47,88.0,21.0,5.95,,-171.0
erdaojiang,41.7764,126.0319,50.04,78.0,99.0,4.59,,126.0319
leningradskiy,69.3833,178.4167,29.07,93.0,75.0,4.61,,178.4167
kawambwa,-9.7915,29.0791,59.9,72.0,0.0,2.91,,29.0791
kendari,-3.945,122.4989,74.68,95.0,100.0,3.18,,122.4989
russell,32.3502,-85.1999,77.56,27.0,40.0,3.44,,-85.1999
narsaq,60.9167,-46.05,51.8,22.0,11.0,9.22,,-46.05
san cristobal,7.7669,-72.225,89.6,58.0,20.0,11.5,,-72.225
gobabis,-22.45,18.9667,60.84,33.0,4.0,8.57,,18.9667
chumphon,10.3333,98.8333,73.56,94.0,22.0,0.47,,98.8333
mina,26.0011,-100.5299,83.39,48.0,20.0,13.8,,-100.5299
kolomna,55.0794,38.7783,52.68,93.0,0.0,4.47,,38.7783
fereydun kenar,36.6864,52.5225,68.14,78.0,94.0,0.74,,52.5225
vestmanna,62.1564,-7.1664,42.8,87.0,75.0,16.11,,-7.1664
ayautla,,,,,,,,
kikwit,-5.041,18.8162,75.96,66.0,26.0,0.72,,18.8162
college,64.8569,-147.8028,60.28,41.0,75.0,13.8,,-147.8028
alvaraes,-3.2208,-64.8042,86.0,79.0,40.0,1.1,,-64.8042
banepa,27.6298,85.5214,62.6,88.0,20.0,3.44,,85.5214
palembang,-2.9167,104.7458,74.61,97.0,42.0,3.65,,104.7458
saleaula,,,,,,,,
mandera,3.9366,41.867,85.75,49.0,84.0,13.04,,41.867
sabang,5.8933,95.3214,83.41,74.0,100.0,0.72,,95.3214
ihosy,-22.4,46.1167,64.63,94.0,76.0,4.83,,46.1167
sept-iles,50.2001,-66.3821,47.41,61.0,75.0,6.91,,-66.3821
phan rang,,,,,,,,
bhadra,29.1167,75.1667,88.81,34.0,95.0,3.65,,75.1667
norden,53.6,7.2,49.32,87.0,96.0,1.01,,7.2
humen,22.819,113.6731,82.4,89.0,0.0,13.42,,113.6731
la libertad,-2.2333,-80.9,78.8,73.0,0.0,9.22,,-80.9
robertsport,6.7533,-11.3686,81.79,80.0,100.0,9.06,,-11.3686
tual,-5.6667,132.75,82.78,80.0,66.0,22.91,,132.75
pangnirtung,66.1451,-65.7125,23.41,86.0,93.0,3.15,,-65.7125
khandyga,62.6667,135.6,45.82,70.0,72.0,3.85,,135.6
itarema,-2.9248,-39.9167,77.74,84.0,100.0,8.23,,-39.9167
nioro,13.35,-15.75,82.72,47.0,100.0,14.45,,-15.75
abalak,58.1286,68.5944,59.31,82.0,91.0,5.14,,68.5944
burnie,-41.0667,145.9167,45.0,92.0,84.0,1.99,,145.9167
bonfim,3.0833,-59.95,83.82,70.0,51.0,7.27,,-59.95
kurtamysh,54.9103,64.4319,68.13,49.0,82.0,8.19,,64.4319
lasa,46.6166,10.7002,50.32,100.0,75.0,3.44,,10.7002
auxerre,47.8,3.5667,51.17,77.0,91.0,1.99,,3.5667
porto belo,-27.1578,-48.5531,66.06,82.0,0.0,5.75,,-48.5531
grand river south east,,,,,,,,
brewster,41.3973,-73.6171,72.59,21.0,90.0,6.91,,-73.6171
ginir,7.1333,40.7,58.17,86.0,74.0,5.55,,40.7
goderich,43.7501,-81.7165,69.8,23.0,46.0,5.75,,-81.7165
marseille,43.3333,5.5,59.79,84.0,100.0,3.24,,5.5
changying,52.8733,123.3213,38.19,71.0,0.0,4.7,,123.3213
santa cruz del sur,20.7147,-77.9956,83.8,62.0,52.0,6.31,,-77.9956
rock falls,41.7798,-89.689,55.2,94.0,90.0,6.91,,-89.689
pacific grove,36.6177,-121.9166,54.79,77.0,90.0,12.66,,-121.9166
kenai,60.5544,-151.2583,48.2,71.0,40.0,11.5,,-151.2583
culfa,38.9558,45.6308,69.8,35.0,1.0,11.5,,45.6308
saint anthony,45.0205,-93.218,72.36,35.0,20.0,8.05,,-93.218
sorland,67.667,12.6934,43.74,88.0,100.0,16.75,,12.6934
kalianget,-7.05,113.9333,80.65,77.0,20.0,11.23,,113.9333
coihaique,-45.5752,-72.0662,48.2,81.0,75.0,3.44,,-72.0662
port hedland,-20.3167,118.5667,64.4,42.0,0.0,10.36,,118.5667
puri,19.8,85.85,84.69,94.0,40.0,4.61,,85.85
karkaralinsk,,,,,,,,
kapit,2.0167,112.9333,75.34,99.0,100.0,0.81,,112.9333
mehamn,71.0357,27.8492,37.4,75.0,75.0,17.27,,27.8492
lesnoy,57.6198,63.0784,67.91,56.0,100.0,6.67,,63.0784
kita,13.0349,-9.4895,96.15,21.0,78.0,1.23,,-9.4895
malakal,9.5334,31.6605,84.76,50.0,18.0,4.99,,31.6605
lakatoro,-16.0999,167.4164,80.96,81.0,96.0,4.68,,167.4164
rio gallegos,-51.6226,-69.2181,46.4,100.0,75.0,4.61,,-69.2181
havre-saint-pierre,50.2334,-63.5986,51.8,54.0,90.0,8.05,,-63.5986
paradwip,,,,,,,,
hammerfest,70.6634,23.6821,35.6,80.0,90.0,16.11,,23.6821
freeport,40.6576,-73.5832,70.43,28.0,1.0,11.5,,-73.5832
ardesen,41.1911,40.9875,57.2,82.0,0.0,1.14,,40.9875
waipawa,-41.4122,175.5153,57.52,82.0,90.0,14.97,,175.5153
beringovskiy,63.05,179.3167,32.11,96.0,100.0,9.82,,179.3167
aswan,24.0934,32.907,84.96,6.0,0.0,10.89,,32.907
andapa,-14.65,49.65,65.3,96.0,66.0,1.34,,49.65
ahipara,-35.1667,173.1667,59.88,81.0,29.0,5.99,,173.1667
alice springs,-23.7,133.8833,41.0,87.0,100.0,5.75,,133.8833
evanston,42.0411,-87.6901,59.0,58.0,90.0,9.22,,-87.6901
zemio,5.0314,25.1361,69.94,95.0,95.0,1.68,,25.1361
svetlyy,54.675,20.1347,46.2,93.0,79.0,4.47,,20.1347
borogontsy,62.6683,131.1683,46.63,70.0,15.0,7.92,,131.1683
varnamo,57.186,14.04,44.15,94.0,42.0,2.55,,14.04
cloquet,46.7216,-92.4594,60.31,59.0,75.0,4.61,,-92.4594
jamame,0.0722,42.7506,78.8,81.0,34.0,11.45,,42.7506
campo grande,-20.4428,-54.6464,80.6,47.0,40.0,6.91,,-54.6464
minot,48.2325,-101.2963,76.32,18.0,20.0,8.05,,-101.2963
meyungs,,,,,,,,
thessalon,46.2501,-83.5666,66.2,22.0,1.0,8.05,,-83.5666
sambava,-14.2667,50.1667,74.39,84.0,42.0,9.37,,50.1667
viedma,-40.8135,-62.9967,56.91,66.0,71.0,7.85,,-62.9967
bowen,-20.0167,148.2333,50.0,93.0,0.0,8.05,,148.2333
arrecife,28.963,-13.5477,68.0,83.0,20.0,24.16,,-13.5477
mozarlandia,-14.7447,-50.5706,80.83,36.0,100.0,0.13,,-50.5706
puerto madryn,-42.7692,-65.0385,59.83,39.0,11.0,8.32,,-65.0385
invermere,50.5167,-116.0354,71.01,30.0,49.0,1.01,,-116.0354
burica,,,,,,,,
tautira,-17.7333,-149.15,84.11,70.0,75.0,8.05,,-149.15
monrovia,6.3005,-10.7969,77.0,94.0,75.0,6.55,,-10.7969
muisne,0.6,-80.0333,82.4,83.0,75.0,11.5,,-80.0333
sakakah,29.9697,40.2064,86.0,9.0,0.0,10.36,,40.2064
bereda,43.2686,-7.5406,59.31,100.0,100.0,8.99,,-7.5406
scottsburgh,,,,,,,,
aguimes,27.9054,-15.4461,69.64,68.0,20.0,25.32,,-15.4461
moerai,-22.4333,-151.3333,77.52,77.0,100.0,11.5,,-151.3333
mao,39.8885,4.2658,62.6,88.0,0.0,11.5,,4.2658
dalvik,65.9702,-18.5286,37.4,65.0,90.0,10.36,,-18.5286
ribas do rio pardo,-20.4431,-53.7592,78.35,43.0,33.0,7.2,,-53.7592
forio,40.7342,13.8646,61.34,75.0,69.0,4.0,,13.8646
oranjemund,-28.55,16.4333,60.89,97.0,30.0,9.53,,16.4333
gigmoto,13.7796,124.39,81.14,85.0,97.0,8.01,,124.39
paucartambo,,,,,,,,
vagur,61.4732,-6.8119,41.86,94.0,100.0,26.17,,-6.8119
yurgamysh,55.3714,64.4656,66.43,54.0,78.0,6.62,,64.4656
encheng,22.1839,112.3026,78.22,94.0,12.0,4.63,,112.3026
nabire,-3.3667,135.4833,76.08,92.0,86.0,3.67,,135.4833
lazaro cardenas,17.9583,-102.2,88.48,55.0,1.0,12.53,,-102.2
camacupa,-12.0167,17.4833,60.15,59.0,77.0,4.74,,17.4833
sijunjung,-0.6876,100.9537,72.39,98.0,84.0,1.12,,100.9537
makakilo city,21.3469,-158.0858,77.67,51.0,1.0,10.36,,-158.0858
keti bandar,24.1447,67.4497,82.62,77.0,100.0,12.06,,67.4497
talnakh,69.4865,88.3972,11.98,96.0,97.0,2.75,,88.3972
kamthi,21.2333,79.2,86.0,54.0,20.0,3.44,,79.2
mateare,12.2351,-86.4281,93.2,52.0,40.0,20.71,,-86.4281
paamiut,61.994,-49.6678,37.54,64.0,70.0,5.61,,-49.6678
baruun-urt,46.6806,113.2792,43.83,24.0,2.0,9.57,,113.2792
tubruq,,,,,,,,
rabaul,-4.1967,152.1721,81.12,77.0,17.0,6.71,,152.1721
sira,13.7453,76.9092,74.66,77.0,100.0,14.27,,76.9092
sawakin,19.1059,37.3321,82.87,53.0,0.0,4.97,,37.3321
kragujevac,44.0167,20.9167,60.91,82.0,40.0,3.44,,20.9167
minden,52.2833,8.9167,50.34,87.0,97.0,1.14,,8.9167
alexandria,31.2156,29.9553,71.6,78.0,0.0,6.91,,29.9553
mitsamiouli,-11.3847,43.2844,81.0,76.0,69.0,9.13,,43.2844
sadovoye,47.7764,44.5089,65.7,40.0,6.0,10.78,,44.5089
dhidhdhoo,6.8833,73.1,84.69,73.0,60.0,26.93,,73.1
mabaruma,8.2,-59.7833,79.95,79.0,98.0,6.76,,-59.7833
petropavlovsk-kamchatskiy,53.0452,158.6483,44.6,49.0,53.0,4.47,,158.6483
glace bay,46.1969,-59.957,51.1,47.0,75.0,18.41,,-59.957
tarakan,3.3,117.6333,79.23,84.0,99.0,4.25,,117.6333
novyy urengoy,66.0833,76.6333,27.48,61.0,21.0,7.14,,76.6333
tarboro,35.8968,-77.5358,76.21,22.0,40.0,9.22,,-77.5358
jacmel,18.2342,-72.5347,87.8,66.0,40.0,18.41,,-72.5347
vanavara,60.34,102.2797,27.66,76.0,21.0,11.59,,102.2797
chicama,-7.8447,-79.1469,68.0,77.0,7.0,6.91,,-79.1469
jibuti,11.5,42.5,91.4,33.0,1.0,4.61,,42.5
ciudad bolivar,8.1222,-63.5497,91.04,41.0,98.0,14.85,,-63.5497
magnolia,33.2671,-93.2393,81.81,42.0,20.0,10.36,,-93.2393
lorengau,-2.0226,147.2712,83.43,78.0,100.0,9.95,,147.2712
zhicheng,30.2956,111.5047,68.0,82.0,100.0,6.49,,111.5047
mitikas,38.6699,20.9466,62.6,77.0,20.0,11.5,,20.9466
xalpatlahuac,17.4667,-98.6167,80.51,43.0,71.0,4.23,,-98.6167
hebertville,,,,,,,,
bridgetown,13.1,-59.6167,82.4,61.0,40.0,21.85,,-59.6167
fevralsk,,,,,,,,
siderno,38.2779,16.302,54.14,67.0,100.0,23.02,,16.302
chapais,49.7834,-74.8492,64.4,29.0,1.0,12.66,,-74.8492
bethanien,-26.502,17.1583,56.37,71.0,2.0,7.09,,17.1583
alta floresta,-9.8756,-56.0861,86.0,54.0,0.0,5.75,,-56.0861
slobozia-conachi,,,,,,,,
hirado,33.3597,129.5531,73.99,71.0,100.0,5.01,,129.5531
strezhevoy,60.7333,77.5889,44.6,81.0,90.0,8.95,,77.5889
road town,18.4167,-64.6167,83.48,79.0,20.0,6.91,,-64.6167
wagga wagga,-35.1167,147.3667,30.69,93.0,0.0,2.77,,147.3667
sarh,9.1429,18.3923,78.8,69.0,20.0,9.15,,18.3923
straseni,47.1414,28.6103,62.6,67.0,0.0,5.75,,28.6103
ancud,-41.8697,-73.8203,51.17,87.0,75.0,3.44,,-73.8203
sangar,63.9242,127.4739,45.66,53.0,42.0,11.61,,127.4739
russellville,35.2784,-93.1338,78.6,47.0,1.0,6.91,,-93.1338
alekseyevsk,57.8406,108.3492,38.14,83.0,88.0,9.78,,108.3492
yerofey pavlovich,53.9667,121.9667,38.32,65.0,0.0,2.68,,121.9667
walvis bay,-22.9575,14.5053,66.2,55.0,0.0,11.5,,14.5053
gonnoi,39.8667,22.4667,59.11,94.0,20.0,2.35,,22.4667
inta,66.0317,60.1659,37.49,80.0,97.0,5.21,,60.1659
bhanjanagar,19.9333,84.5833,82.85,78.0,5.0,2.04,,84.5833
polovinnoye,54.7914,65.9864,67.57,47.0,36.0,7.83,,65.9864
vallenar,-28.5708,-70.7581,76.12,40.0,98.0,4.27,,-70.7581
stornoway,58.2093,-6.3865,46.24,81.0,40.0,5.75,,-6.3865
houma,29.5958,-90.7195,78.19,61.0,40.0,10.36,,-90.7195
sao luis de montes belos,-16.525,-50.3722,76.32,45.0,90.0,2.3,,-50.3722
hami,42.8,93.45,68.27,17.0,74.0,12.71,,93.45
tilichiki,60.4667,166.1,28.31,83.0,16.0,3.44,,166.1
remanso,-9.6179,-42.0831,82.0,53.0,94.0,12.12,,-42.0831
ketrzyn,54.0768,21.3753,47.12,93.0,77.0,5.28,,21.3753
kavaratti,10.5669,72.642,83.17,80.0,100.0,27.89,,72.642
calvillo,21.85,-102.7167,78.8,31.0,75.0,12.66,,-102.7167
mehran,33.1222,46.1646,73.4,27.0,0.0,4.61,,46.1646
vardo,70.3705,31.1107,34.83,79.0,100.0,17.63,,31.1107
sangin,32.0728,64.8359,77.38,11.0,69.0,6.82,,64.8359
sergeyevka,53.88,67.4158,63.34,62.0,7.0,9.13,,67.4158
sosnovo-ozerskoye,52.5249,111.5418,37.24,71.0,58.0,13.87,,111.5418
rawannawi,,,,,,,,
mareeba,-17.0,145.4333,65.59,82.0,0.0,2.3,,145.4333
ulagan,50.6321,87.9563,43.29,82.0,9.0,0.51,,87.9563
vila franca do campo,37.7167,-25.4333,64.4,94.0,75.0,8.05,,-25.4333
lethem,3.3803,-59.7968,84.74,66.0,64.0,10.31,,-59.7968
marystown,47.1666,-55.1483,45.27,72.0,72.0,13.89,,-55.1483
letlhakane,-21.4167,25.5833,61.16,37.0,1.0,3.38,,25.5833
manyana,-23.4,21.7167,61.18,32.0,3.0,3.58,,21.7167
hashtrud,37.4779,47.0508,55.96,41.0,0.0,4.27,,47.0508
ucluelet,48.9329,-125.5528,53.87,93.0,20.0,8.05,,-125.5528
batemans bay,-35.7167,150.1833,38.46,70.0,1.0,5.06,,150.1833
puerto narino,-3.7703,-70.3831,77.0,94.0,75.0,2.37,,-70.3831
brae,60.3964,-1.353,46.4,100.0,90.0,2.3,,-1.353
skalistyy,,,,,,,,
palabuhanratu,,,,,,,,
richards bay,-28.783,32.0377,69.42,39.0,0.0,6.62,,32.0377
touros,-5.1989,-35.4608,78.8,83.0,20.0,4.61,,-35.4608
pichayevo,53.2363,42.2032,60.69,91.0,10.0,4.92,,42.2032
