City,lat,long,temp,humidity,cloudiness,windspeed
meulaboh,4.1363,96.1285,76.93,88.0,98.0,3.18
vaitupu,,,,,,
gat,31.61,34.7642,64.35,72.0,0.0,1.21
verkhnyaya inta,65.9811,60.3094,56.21,73.0,35.0,17.11
kazalinsk,,,,,,
vicksburg,32.3526,-90.8779,72.48,37.0,1.0,10.36
monroe,43.1501,-77.6831,63.12,26.0,20.0,5.75
riyadh,24.6877,46.7219,91.4,16.0,0.0,5.75
bontang,0.1333,117.5,78.78,88.0,100.0,2.68
khuzdar,27.7384,66.6434,71.53,15.0,0.0,5.28
atambua,-9.1061,124.8925,77.83,67.0,35.0,6.04
ruwi,23.5996,58.5507,87.8,62.0,0.0,4.76
grindavik,63.8424,-22.4338,39.2,81.0,75.0,2.3
mahon,39.8885,4.2658,60.8,88.0,0.0,8.05
salekhard,66.53,66.6019,40.62,69.0,100.0,6.4
ruteng,-8.6136,120.4721,67.08,80.0,100.0,3.11
sept-iles,50.2001,-66.3821,53.6,47.0,75.0,9.22
kavieng,-2.5744,150.7967,85.15,72.0,9.0,13.02
yenagoa,4.9247,6.2642,76.37,88.0,84.0,1.36
balkanabat,39.5108,54.3671,79.77,10.0,1.0,15.39
yuzhno-kurilsk,44.0306,145.8556,47.28,91.0,99.0,3.87
jiamusi,46.8333,130.35,64.65,38.0,30.0,12.35
rio gallegos,-51.6226,-69.2181,46.4,71.0,75.0,1.14
peterhead,57.5058,-1.7981,44.87,93.0,90.0,8.05
valer,60.6785,11.8331,50.61,92.0,82.0,3.51
kruisfontein,-34.0033,24.7314,53.01,89.0,0.0,3.4
yarmouth,41.7057,-70.2286,58.8,39.0,1.0,12.66
mankera,31.3866,71.4407,77.38,48.0,9.0,9.06
mandalgovi,45.7625,106.2708,40.64,72.0,100.0,19.37
dzhusaly,,,,,,
ust-nera,64.5667,143.2,31.64,69.0,95.0,2.8
soldotna,60.4878,-151.0583,55.06,44.0,75.0,10.36
camacha,33.0833,-16.3333,64.4,77.0,20.0,11.5
turan,16.0678,108.2208,80.6,83.0,20.0,1.14
kalemie,-5.9475,29.1947,69.64,83.0,14.0,2.68
pimenta bueno,-11.6725,-61.1936,74.21,81.0,84.0,2.06
medford,42.3265,-122.8756,84.31,19.0,1.0,6.91
ambanja,-13.6833,48.45,69.98,90.0,95.0,4.32
athabasca,54.7169,-113.2854,63.55,36.0,76.0,10.36
lodwar,3.1191,35.5973,80.42,66.0,17.0,3.74
carinhanha,-14.3047,-43.765,74.61,30.0,75.0,4.65
kirn,49.7833,7.45,44.74,85.0,88.0,3.91
hongjiang,27.11,109.9956,78.66,84.0,37.0,10.67
ocos,14.5094,-92.1933,86.13,70.0,75.0,3.44
farah,32.5,62.5,67.6,26.0,0.0,4.81
erenhot,43.6475,111.9767,59.88,84.0,70.0,2.33
ketchikan,55.3422,-131.6461,53.6,66.0,90.0,10.36
acapulco,16.8634,-99.8901,87.8,66.0,75.0,4.61
sorland,67.667,12.6934,39.72,80.0,57.0,29.01
mulege,26.8833,-111.9833,88.83,27.0,86.0,6.06
sao domingos,-13.3983,-46.3183,71.47,47.0,74.0,4.99
whitianga,-36.8333,175.7,60.01,73.0,100.0,4.0
klaksvik,62.2266,-6.589,39.2,81.0,75.0,1.14
oshnaviyeh,37.0397,45.0983,55.4,67.0,0.0,2.3
lakes entrance,-37.8811,147.981,54.0,71.0,44.0,1.99
sao sepe,-30.1606,-53.5653,50.0,93.0,0.0,1.14
buckeye,33.3703,-112.5838,101.26,7.0,0.0,9.22
deputatskiy,69.3,139.9,23.77,83.0,84.0,2.82
komsomolskiy,40.4272,71.7189,62.6,51.0,29.0,6.91
hargeysa,9.56,44.065,70.97,66.0,28.0,18.48
santa isabel do rio negro,-0.4139,-65.0192,73.65,98.0,93.0,2.95
lexington,37.9887,-84.4777,62.6,34.0,20.0,6.91
dagua,3.6569,-76.6886,80.6,65.0,40.0,12.66
terenos,-20.4422,-54.8603,69.8,73.0,75.0,6.91
bolungarvik,,,,,,
aleksandrov gay,50.147,48.5704,62.89,48.0,3.0,9.64
gilazi,,,,,,
alekseyevka,50.6309,38.6903,54.97,91.0,79.0,5.59
sharjah,25.3573,55.4033,79.68,50.0,0.0,4.61
tura,25.5198,90.2201,67.69,95.0,21.0,2.66
lake mary,28.7589,-81.3178,71.06,78.0,90.0,13.8
miandrivazo,-19.5167,45.4667,74.44,61.0,12.0,2.42
akdepe,42.0551,59.3788,60.84,31.0,0.0,6.91
sistranda,63.7256,8.834,44.6,93.0,75.0,6.91
pangody,65.85,74.4859,30.51,89.0,100.0,9.08
todos santos,23.45,-110.2167,74.52,69.0,13.0,1.99
tuy hoa,13.0833,109.3,82.62,78.0,93.0,2.21
sur,22.5667,59.5289,90.68,41.0,69.0,9.46
hamilton,39.1834,-84.5333,65.17,27.0,1.0,5.75
tombouctou,20.0,-3.0,88.81,6.0,0.0,10.13
chalus,36.655,51.4204,60.8,88.0,0.0,1.1
ust-tsilma,65.441,52.1498,55.78,66.0,6.0,4.56
bangkalan,-7.0455,112.7351,78.8,89.0,20.0,1.14
jacqueville,5.2052,-4.4146,82.4,83.0,20.0,5.75
batemans bay,-35.7167,150.1833,54.88,56.0,1.0,3.0
carlsbad,33.1581,-117.3506,68.09,64.0,90.0,10.36
xining,36.6167,101.7667,55.51,53.0,100.0,14.03
bo,,,,,,
dakoro,14.5106,6.765,87.3,26.0,16.0,10.04
san patricio,28.017,-97.5169,77.95,57.0,90.0,12.66
north bend,43.4065,-124.2243,55.56,82.0,90.0,18.41
sao miguel do araguaia,-13.275,-50.1628,74.44,50.0,1.0,4.34
boden,65.8252,21.6886,44.6,87.0,90.0,12.66
kirakira,-10.4544,161.9205,85.14,69.0,28.0,6.26
marcona,,,,,,
kieta,-6.2167,155.6333,84.92,67.0,27.0,4.47
cuorgne,45.3895,7.6499,48.79,66.0,11.0,1.99
shimoda,34.6667,138.95,70.14,88.0,40.0,12.66
padang,-0.9492,100.3543,77.0,94.0,75.0,2.3
sao borja,-28.6606,-56.0044,54.16,59.0,96.0,8.1
cahors,44.4167,1.3333,49.37,93.0,90.0,8.05
pasighat,28.0667,95.3333,67.51,97.0,100.0,2.28
bereda,43.2686,-7.5406,43.21,100.0,67.0,1.99
saint-augustin,51.226,-58.6502,42.44,70.0,100.0,15.61
sterling,39.0062,-77.4286,64.17,27.0,75.0,5.75
mrirt,,,,,,
okhotsk,59.3833,143.3,38.68,67.0,14.0,4.18
henties bay,-22.116,14.2845,68.76,54.0,0.0,2.26
sapouy,11.5544,-1.7736,84.92,49.0,74.0,12.24
kilmez,,,,,,
nishihara,26.1842,127.7558,80.38,83.0,40.0,11.5
bertoua,4.5833,13.6833,67.96,96.0,97.0,0.92
kendari,-3.945,122.4989,80.01,83.0,58.0,2.53
karaul,,,,,,
rosita,13.9268,-84.4032,76.39,91.0,89.0,2.39
kapoeta,4.7717,33.5903,74.93,70.0,19.0,6.89
fortuna,40.5982,-124.1573,53.29,93.0,90.0,16.11
mendoza,-32.8908,-68.8272,59.0,63.0,20.0,1.12
jarwal,27.1667,81.55,77.58,65.0,8.0,6.93
nyuksenitsa,60.4128,44.2397,57.09,95.0,80.0,5.59
pimentel,-6.8367,-79.9342,65.46,82.0,75.0,20.71
narrabri,-30.3167,149.7833,54.81,76.0,0.0,1.14
oakdale,44.963,-92.9649,68.74,21.0,40.0,14.97
belen,36.4891,36.2233,66.2,94.0,0.0,11.5
valparaiso,-33.0393,-71.6273,58.1,77.0,75.0,4.97
port-gentil,-0.7193,8.7815,78.8,94.0,40.0,1.14
cooma,-36.2333,149.1333,44.6,57.0,4.0,13.8
khandyga,62.6667,135.6,46.6,35.0,55.0,5.68
sungaipenuh,-2.0833,101.3833,67.3,94.0,100.0,1.61
silifke,36.3778,33.9344,67.89,58.0,0.0,1.9
evensk,61.95,159.2333,35.06,70.0,71.0,5.53
nushki,29.5542,66.0215,72.19,15.0,0.0,1.99
carberry,49.8689,-99.3602,68.25,24.0,75.0,2.3
dillon,34.4166,-79.3712,65.95,37.0,40.0,5.75
flin flon,54.7682,-101.865,60.8,29.0,20.0,5.75
biltine,14.5333,20.9167,86.9,11.0,3.0,9.08
martapura,-3.4167,114.85,77.0,100.0,20.0,1.7
surt,31.2089,16.5887,64.78,72.0,4.0,9.46
colares,38.7992,-9.4469,59.79,89.0,31.0,14.07
draguignan,43.5333,6.4667,56.61,76.0,91.0,10.36
big spring,32.2504,-101.4787,75.0,43.0,1.0,8.05
palabuhanratu,,,,,,
dourbali,11.8091,15.8632,90.23,29.0,44.0,6.46
manzhouli,49.6,117.4333,48.56,53.0,100.0,11.45
jining,35.405,116.5814,67.28,85.0,100.0,8.75
waingapu,-9.6567,120.2641,81.1,75.0,94.0,15.01
halalo,,,,,,
vicuna,-30.0319,-70.7081,63.0,37.0,5.0,1.01
sinop,41.7711,34.8709,61.68,57.0,6.0,6.87
jumla,29.2747,82.1838,48.72,79.0,70.0,0.92
